"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
100.06147846727085948,0.0071165853807481265283,0.0071165853807481265283,63.434279242616213423,0.063592347982748514967,0.063592347982748514967,6.2550855424227513879,1.1380593582651838958,0.63412053083373898232,0,599.90245159955009058,0,0.08753935321867833963,3702.2989224791526794,3702.3972830921411514,0.4357815384382774937,0.028771259341681343358,0,221,221,3
100.10447090410812621,0.011476215685251933002,0.011476215685251933002,63.430894498927884229,0.10256684969404911145,0.10256684969404911145,6.2512187025959917719,0.99774839593076780631,0.51975919111133361827,0,599.89891538337553811,0,0.07679412874481039708,5967.9227333888411522,5967.4600192904472351,0.19568801254672507639,0.048043457780920562072,0,222,222,3
100.14874512059734002,0.010885715054815796668,0.010885715054815796668,63.425402781427607124,0.097328020512284271759,0.097328020512284271759,6.2448061822165534807,0.71068339839559802051,0.46534536289266242859,0,599.89253126845937913,0,0.054755642466603138274,5656.3592707440257072,5656.2045981585979462,0.064446612498613831121,0.046901587063928218413,0,223,223,3
100.18772965776594219,0.013266987098239150372,0.013266987098239150372,63.418030045481785351,0.11866901452725389654,0.11866901452725389654,6.2361173360655950404,0.32204988268232270787,0.45617185036940144371,0,599.88300840666079239,0,0.024847376444180113708,6885.6271873936057091,6885.6774707809090614,0.09942405467563730781,0.058358339768631140032,0,224,224,3
100.22676337602504759,0.014458049748154660347,0.014458049748154660347,63.408724201903638118,0.12938571393497375062,0.12938571393497375062,6.2248772108204706299,0.1246925148782196402,0.46781458774960515967,0,599.86943799809171196,0,0.0052126293439735960078,7492.0225266963243484,7492.1617872938513756,0.2262799447771612904,0.05949373114259515205,0,225,225,3
100.27173496443376166,0.014856562242419862202,0.014856562242419862202,63.397125272902883353,0.13303717613366916606,0.13303717613366916606,6.2105720560228707683,0.16011480044965781255,0.48368313277296115515,0,599.85000191169467598,0,0.0025099226724227818863,7682.96660166233778,7683.2510718703269958,0.30220793127637080033,0.062724663866788432642,0,226,226,3
100.32524247945954698,0.024720929710998356538,0.024720929710998356538,63.382731322606289837,0.22153981764926328202,0.22153981764926328202,6.1925823326007467529,0.19801794204442096925,0.50139762664150677729,0,599.82459690312407474,0,0.004516468403821694011,12751.494653582572937,12751.687374785542488,0.33922791680470254505,0.10194622639932049424,0,227,227,3
100.38754238764916238,0.023787156071031483051,0.023787156071031483051,63.365063965638206867,0.21339315565643618422,0.21339315565643618422,6.1699600218614882863,0.24620957969358961415,0.52252978886333290021,0,599.78922620090702367,0,0.0058673346024420425238,12229.903005301952362,12230.218507312238216,0.40443162161909640417,0.098857963120735803386,0,228,228,3
100.46057130322972739,0.040056430812049070855,0.040056430812049070855,63.343275109035587889,0.35979688547842736401,0.35979688547842736401,6.1418480911288160229,0.30523989560100861507,0.54803420681144532356,0,599.74431217142705464,0,0.0071692580807263261988,20510.51250996440649,20510.730393096804619,0.473204858888493618,0.16479838985941341889,0,229,229,3
100.54505008175529213,0.040960561028879703682,0.040960561028879703682,63.316629571688466172,0.36852770193460182568,0.36852770193460182568,6.1066296001397715187,0.37691841463308639604,0.57875550476314319148,0,599.68337300352936836,0,0.0085771687178031186249,20865.017645947635174,20865.367758542299271,0.58015409059680678183,0.16714844179477950092,0,230,230,3
100.6441313121049177,0.064014341124743870393,0.064014341124743870393,63.283810738502182858,0.57712317353486741744,0.57712317353486741744,6.0629669486968085224,0.46657156124032905797,0.61549753713887733753,0,599.60608129748993633,0,0.010293494524241886268,32397.21060823649168,32397.514882184565067,0.7074525364832879859,0.26073230751427445284,0,231,231,3
100.75974715376788993,0.073893915106702887097,0.073893915106702887097,63.243483073272393824,0.66795120932400764424,0.66795120932400764424,6.0081711425460433418,0.57587053716297131878,0.65916788103352519368,0,599.50343159874375942,0,0.012185133828047423066,37089.225093804299831,37089.603197954595089,0.87243534236267805682,0.2954237558872137015,0,232,232,3
